carnation_pink,"rosa",#ffa6c9,255,166,201
carnelian,"rojo",#b31b1b,179,27,27
carolina_blue,"azul",#99badd,153,186,221
carrot_orange,"naranja",#ed9121,237,145,33
catalina_blue,"azul marino",#062a78,6,42,120
ceil,"azul claro",#92a1cf,146,161,207
celadon,"verde claro",#ace1af,172,225,175
celadon_blue,"azul",#007ba7,0,123,167
celadon_green,"verde",#2f847c,47,132,124
celeste_colour,"azul claro",#b2ffff,178,255,255
celestial_blue,"azul",#4997d0,73,151,208
cerise,"rosa",#de3163,222,49,99
cerise_pink,"rosa",#ec3b83,236,59,131
cerulean,"azul",#007ba7,0,123,167
cerulean_blue,"azul marino",#2a52be,42,82,190
cerulean_frost,"azul claro",#6d9bc3,109,155,195
cg_blue,"azul",#007aa5,0,122,165
cg_red,"rojo",#e03c31,224,60,49
chamoisee,"marron",#a0785a,160,120,90
champagne,"beige",#fad6a5,250,214,165
charcoal,"gris",#36454f,54,69,79
charm_pink,"rosa",#e68fac,230,143,172
chartreuse_traditional,"amarillo",#dfff00,223,255,0
chartreuse_web,"verde",#7fff00,127,255,0
cherry,"rosa",#de3163,222,49,99
cherry_blossom_pink,"rosa",#ffb7c5,255,183,197
chestnut,"marron",#cd5c5c,205,92,92
china_pink,"rosa",#de6fa1,222,111,161
china_rose,"rosa",#a8516e,168,81,110
chinese_red,"rojo",#aa381e,170,56,30
chocolate_traditional,"marron",#7b3f00,123,63,0
chocolate_web,"naranja",#d2691e,210,105,30
chrome_yellow,"amarillo",#ffa700,255,167,0
cinereous,"marron",#98817b,152,129,123
cinnabar,"rojo",#e34234,227,66,52
cinnamon,"naranja",#d2691e,210,105,30
citrine,"amarillo",#e4d00a,228,208,10
classic_rose,"rosa",#fbcce7,251,204,231
cobalt,"azul",#0047ab,0,71,171
cocoa_brown,"naranja",#d2691e,210,105,30
coffee,"marron",#6f4e37,111,78,55
columbia_blue,"azul claro",#9bddff,155,221,255
congo_pink,"rosa",#f88379,248,131,121
cool_black,"azul marino",#002e63,0,46,99
cool_grey,"gris",#8c92ac,140,146,172
copper,"marron",#b87333,184,115,51
copper_crayola,"marron",#da8a67,218,138,103
copper_penny,"marron",#ad6f69,173,111,105
copper_red,"marron",#cb6d51,203,109,81
copper_rose,"marron",#966,153,102,102
coquelicot,"rojo",#ff3800,255,56,0
coral,"naranja",#ff7f50,255,127,80
coral_pink,"rosa",#f88379,248,131,121
coral_red,"rojo",#ff4040,255,64,64
cordovan,"granate",#893f45,137,63,69
corn,"amarillo",#fbec5d,251,236,93
cornell_red,"rojo",#b31b1b,179,27,27
